"Transaction Date","Recipient Name","Recipient Company","Recipient Address","Recipient Country","Class","Total Cost","Package Weight","Appearances"
"4/4/2024","Mossey Library - Interlibrary Loan","Hillsdale College","33 E College St Hillsdale MI 49242-1298","US","Library Mail","3.92","1 lbs ","7"
"4/2/2024","Interlibrary Loan","Crystal Lake Public Library","126 W Paddock St Crystal Lake IL 60014-6194","US","Library Mail","3.92","1 lbs ","7"
"4/10/2024","Holman Library - ILL Dept","Green River College","12401 SE 320th St Auburn WA 98092-3699","US","Library Mail","4.62","2 lbs ","7"
"2/26/2024","Interlibrary Loan","O'Neill Public Library","601 E Douglas St Oneill NE 68763-1647","US","Library Mail","4.62","2 lbs ","7"
"2/28/2024","Interlibrary Loan","Platte County Public Library","904 9th St Wheatland WY 82201-2699","US","Library Mail","3.92","1 lbs ","7"
"4/15/2024","White Mountain Library ILL","","2935 Sweetwater Dr Rock Springs WY 82901-4331","US","Library Mail","4.62","2 lbs ","7"
"7/30/2024","Interlibrary Loan","Dakota County Library","1340 Wescott Rd Eagan MN 55123-1099","US","Library Mail","5.11","2 lbs ","7"
"4/5/2024","Interlibrary Loan","Westlake Porter Public Library","27333 Center Rdg Rd Westlake OH 44145-3925","US","Library Mail","3.92","1 lbs ","7"
"4/16/2024","Interlibrary Loan","Holbrook Public Library","403 S Park St Holbrook AZ 86025-2701","US","Library Mail","3.92","1 lbs ","6"
"1/19/2024","Interlibrary Loan Department","Anderson County Library","300 N McDuffie St Anderson SC 29621-5643","US","Library Mail","3.72","1 lbs ","6"
"4/16/2024","Interlibrary Loan","Round Rock Public Library","200 E Liberty Ave Round Rock TX 78664-5239","US","Library Mail","3.92","1 lbs ","6"
"8/27/2024","Bierce Library - Interlibrary Loans","The University of Akron","302 Buchtel Mall Akron OH 44325-1706","US","Library Mail","4.40","1 lbs ","6"
"8/14/2024","Sojourner Truth Library - ILL","SUNY at New Paltz","300 Hawk Dr New Paltz NY 12561-2493","US","Library Mail","4.40","1 lbs ","6"
"1/11/2024","Interlibrary Loan","Humboldt County Library","1313 3rd St Eureka CA 95501-0553","US","Library Mail","5.85","4 lbs ","6"
"4/29/2024","Interlibrary Loan Dept","Ontario City Library","215 E C St Ontario CA 91764-4111","US","Library Mail","3.92","1 lbs ","6"
"4/29/2024","Interlibrary Loan","Garden City Library","6015 N Glenwood St Garden City ID 83714-1347","US","Library Mail","3.92","1 lbs ","6"
"4/29/2024","Leslie J Savage Library - ILL Dept","Western Colorado University","1 Western Way Gunnison CO 81231-7002","US","Library Mail","3.92","1 lbs ","6"
"1/16/2024","Interlibrary Loan","Campbell County Public Library","901 E 6th St Newport KY 41071-2017","US","Library Mail","3.72","1 lbs ","6"
"8/13/2024","Interlibrary Loan","Crowell Public Library","1890 Huntington Dr San Marino CA 91108-2542","US","Library Mail","4.40","1 lbs ","6"
"1/9/2024","Roseanne Freundt - ILL","Batavia Public Library","10 S Batavia Ave Batavia IL 60510-2793","US","Library Mail","3.72","1 lbs ","6"
"8/14/2024","Addlestone Library ILL","College of Charleston","205 Calhoun St Charleston SC 29424-0001","US","Library Mail","4.40","1 lbs ","6"
"4/4/2024","Interlibrary Loan Department","Kansas City Public Library","14 W 10th St Kansas City MO 64105-1702","US","Library Mail","4.62","2 lbs ","6"
"4/19/2024","Nephi Public Library - ILL","","21 E 100 N Nephi UT 84648-1509","US","Library Mail","3.92","1 lbs ","6"
"4/24/2024","Interlibrary Loan","Newport Public Library","116 S Washington Ave Newport WA 99156-9665","US","Library Mail","3.92","1 lbs ","6"
"2/13/2024","Interlibrary Loan","Brazoria County Library System","401 E Cedar St Angleton TX 77515-4683","US","Library Mail","3.92 ","1 lbs ","6"
"2/28/2024","Dunagan Library - ILL","University of Texas Permian Basin","4901 E Univ Blvd Odessa TX 79762-0001","US","Library Mail","3.92","1 lbs ","6"
"4/26/2024","ILL: St Tammany Parish Library","Texarkana Public Library","""68361 Commercial Way S, Ste 3 Mandeville LA 70471-8705""","US","Library Mail","3.92","1 lbs ","6"
"4/5/2024","Interlibrary Loan","Onondaga County Public Library","447 S Salina St Syracuse NY 13202-2494","US","Library Mail","3.92","1 lbs ","6"
"2/22/2024","Interlibrary Loan","DePaul University Library","2350 N Kenmore Ave Chicago IL 60614-3210","US","Library Mail","4.62","2 lbs ","6"
"4/23/2024","Interlibrary Loan Dept","The College of Wooster Libraries","1140 Beall Ave Wooster OH 44691-2337","US","Library Mail","3.92","1 lbs ","6"
"4/4/2024","""Interlibrary Loan, GL-290""","Florida International University","11200 SW 8th St Miami FL 33199-2516","US","Library Mail","4.62","2 lbs ","6"
"4/4/2024","Interlibrary Loan","Bismarck Veterans Mem Public Library","515 N 5th St Bismarck ND 58501-4081","US","Library Mail","4.62","2 lbs ","6"
"4/19/2024","Interlibrary Loan","President Millard Fillmore Library","25 S 100 W Fillmore UT 84631-5509","US","Library Mail","4.62","1 lbs 15.50 oz","6"
"4/23/2024","Interlibrary Loan","Rockford Public Library","214 N Church St Rockford IL 61101-1061","US","Library Mail","4.62","1 lbs 13.10 oz","6"
"4/22/2024","""Ablah Library, Room 119 - ILL""","Wichita State University","""1845 Fairmount St, # 68 Wichita KS 67260-0068""","US","Library Mail","3.92","1 lbs ","6"
"4/18/2024","Interlibrary Loan Dept","Amherst College Library","61 Quadrangle Dr Amherst MA 01002-5004","US","Library Mail","3.92","1 lbs ","6"
"8/28/2024","Dulaney-Browne Library - ILL","Oklahoma City University","2501 N Blackwelder Ave Oklahoma City OK 73106-1402","US","Library Mail","5.11","2 lbs ","6"
"8/29/2024","Interlibrary Loans","Soka University of America Library","1 University Dr Aliso Viejo CA 92656-8081","US","Library Mail","4.40","1 lbs ","6"
"4/5/2024","Interlibrary Loan","Hearst Free Library","401 Main St Anaconda MT 59711-2932","US","Library Mail","4.62","2 lbs ","6"
"1/2/2024","Interlibrary Loan","Cerritos Library","18025 Bloomfield Ave Cerritos CA 90703-8578","US","Library Mail","3.72","1 lbs ","6"
"4/16/2024","ILL Department","Park County Library","1500 Heart Mountain St Cody WY 82414-4236","US","Library Mail","3.92","1 lbs ","6"
"4/16/2024","Pfau Library ILL Department","California State University SB","5500 University Pkwy San Bernardino CA 92407-2393","US","Library Mail","3.92","1 lbs ","6"
"4/16/2024","ILL Department","Indian Prairie Public Library","401 Plainfield Rd Darien IL 60561-4207","US","Library Mail","4.62","2 lbs ","6"
"4/23/2024","LIBRARY - INTERLIBRARY LOANS","CALIFORNIA INSTITUTE OF INTEGRAL STUDIES","1453 Mission St San Francisco CA 94103-2557","US","Library Mail","3.92","1 lbs ","6"
"4/17/2024","Interlibrary Loan","Ames Public Library","515 Douglas Ave Ames IA 50010-6291","US","Library Mail","5.32","3 lbs ","6"
"2/5/2024","Willard Houghton Library - ILL Borrowing","Houghton College","1 Willard Ave Houghton NY 14744-8732","US","Library Mail","3.92","1 lbs ","6"
"4/5/2024","Interlibrary Loan","Waukesha County Technical Coll Library","800 Main St Pewaukee WI 53072-4601","US","Library Mail","4.62","2 lbs ","6"
"4/4/2024","Washington State Library Services","Coyote Ridge Corrections Center Library","PO Box 769 1301 N Ephrata Ave Connell WA 99326-0769","US","Library Mail","3.92","1 lbs ","6"
"8/30/2024","Central Library - Interlibrary Loan","Montgomery County Public Library","104 I H 45 N Conroe TX 77301-2720","US","Library Mail","5.11","2 lbs ","6"
"4/16/2024","Interlibrary Loan","Sitka Public Library","320 Harbor Dr Sitka AK 99835-7553","US","Priority Mail","9.3","2 lbs ","6"
"7/8/2024","Van Pelt Library - ILL","University of Pennsylvania","3420 Walnut St Philadelphia PA 19104-3436","US","Library Mail","4.62","2 lbs ","6"
"4/15/2024","Bethlehem Area Public Library - ILL","","11 W Church St Bethlehem PA 18018-5804","US","Library Mail","3.92","1 lbs ","6"
"8/15/2024","ILL","Hutchinson Public Library","901 N Main St Hutchinson KS 67501-4492","US","Library Mail","5.11","2 lbs ","6"
"8/20/2024","Interlibrary Loan","Columbia College Library","600 S Michigan Ave Chicago IL 60605-1900","US","Library Mail","5.82","3 lbs ","6"
"8/16/2024","Interlibrary Loan Dept","Charleston County Public Library","68 Calhoun St Charleston SC 29401-3546","US","Library Mail","4.40","1 lbs ","6"
"4/29/2024","Brendan Dooley","Pritzker Military Archives Center","10475 12th St Kenosha WI 53144-7606","US","Library Mail","7.42","5 lbs 11 oz","6"
"7/8/2024","Interlibrary Loan","Gooding Public Library","306 5th Ave W Gooding ID 83330-1205","US","Library Mail","4.62","2 lbs ","6"
"8/23/2024","""Dayton Memorial Library ILL, D-20""","Regis University","3333 Regis Blvd Denver CO 80221-1099","US","Library Mail","5.11","2 lbs ","6"
"1/26/2024","Interlibrary Loan","Farmington Public Library","2101 Farmington Ave Farmington NM 87401-7903","US","Library Mail","3.92","1 lbs ","6"
"4/29/2024","Technical Library - Interlibrary Loan","""US Army Corps of Engineers, Portland""","333 SW 1st Ave Portland OR 97204-3440","US","Library Mail","6.02","3 lbs 14.30 oz","6"
"4/15/2024","ILL Department","Keller Public Library","640 Johnson Rd Keller TX 76248-4136","US","Library Mail","3.92","1 lbs ","6"
"1/26/2024","Widener Library - ILL","Harvard University","1 Harvard Yard Cambridge MA 02138-6502","US","Library Mail","4.62","2 lbs ","6"
"8/21/2024","Interlibrary Loan Dept","Evanston Public Library","1703 Orrington Ave Evanston IL 60201-3886","US","Library Mail","10.08","8 lbs 10.10 oz","6"
"8/19/2024","Interlibrary Loan","Helen M Plum Memorial Library District","411 S Main St Lombard IL 60148-2633","US","Library Mail","5.11","2 lbs ","6"
"8/22/2024","Library - ILL Dept","University of Houston-Victoria","3006 N Ben Wilson St Victoria TX 77901-4452","US","Library Mail","4.4","1 lbs ","6"
"4/9/2024","Interlibrary Loan","Montrose Regional Library District","320 S 2nd St Montrose CO 81401-4274","US","Library Mail","4.62","2 lbs ","6"
"7/16/2024","ILL","Carl B Ylvisaker Library","901 8th St S Moorhead MN 56562-0001","US","Library Mail","6.53","4 lbs ","6"
"4/9/2024","ILL","Santa Monica PL","601 Sta Mon Blvd PO Box 1610 Santa Monica CA 90401-2501","US","Library Mail","3.92","1 lbs ","6"
"4/30/2024","Interlibrary Loans","Caldwell Public Library","1010 Dearborn St Caldwell ID 83605-4195","US","Library Mail","3.92","1 lbs ","6"
"8/22/2024","Rasmuson Library - ILL","""University of Alaska, Fairbanks""","PO Box 756807 Fairbanks AK 99775-6807","US","Priority Mail","10.61","1 lbs 1 oz","6"
"8/16/2024","Duane G Meyer Library - ILL Dept","Missouri State University","901 S National Ave Springfield MO 65897-0027","US","Library Mail","5.11","2 lbs ","6"
"8/19/2024","University of Florida Libraries - ILL","","PO Box 117025 Gainesville FL 32611-7025","US","Library Mail","4.4","1 lbs ","6"
"4/30/2024","Mabee Library - ILL Dept","University of the Incarnate Word","4301 Broadway Cpo #297 San Antonio TX 78209-6318","US","Library Mail","5.32","3 lbs ","6"
"4/30/2024","William E Durr Branch - ILL Dept","Kenton County Public Library","1992 Walton Nicholson Pike Independence KY 41051-7906","US","Library Mail","4.62","2 lbs ","6"
"4/29/2024","Interlibrary Loan","Jackson District Library","3125 E Michigan Ave Jackson MI 49202-3849","US","Library Mail","4.62","2 lbs ","6"
"4/15/2024","ILL Department","Morgan County Library","PO Box 600 Morgan UT 84050-0600","US","Library Mail","4.62","2 lbs ","6"
"8/26/2024","Interlibrary Loan at Killam Library","Texas A&M International University","5201 University Blvd Laredo TX 78041-1920","US","Library Mail","4.40","1 lbs ","6"
"8/16/2024","Interlibrary Loan","Wasilla Public Library","500 N Crusey St Wasilla AK 99654-7189","US","Library Mail","4.40","1 lbs ","6"
"1/24/2024","Interlibrary Loan","Sumter County Library","""7375 Powell Rd, Ste 100 Wildwood FL 34785-4225""","US","Library Mail","3.92","1 lbs ","6"
"8/22/2024","Bartle Library - Interlibrary Loan","Binghamton University","4400 Vestal Pkwy E Binghamton NY 13902-4400","US","Library Mail","4.4","1 lbs ","5"
"1/18/2024","Interlibrary Loan","Pitkin County Library","120 N Mill St Aspen CO 81611-1502","US","Library Mail","3.72","1 lbs ","5"
"4/2/2024","ILL Staff","St. Petersburg Library System","1059 18th Ave S Saint Petersburg FL 33705-2515","US","Library Mail","3.92","1 lbs ","5"
"4/9/2024","Interlibrary Loan Office","Carlsbad City Library","1775 Dove Ln Carlsbad CA 92011-4048","US","Library Mail","3.92","1 lbs ","5"
"4/18/2024","Fitzgerald Library - ILL","St Mary's University of Minnesota","""700 Terrace Hts, # 26 Winona MN 55987-1399""","US","Library Mail","4.62","2 lbs ","5"
"2/13/2024","Interlibrary Loan","Poplar Creek Public Library District","1405 S Park Ave Streamwood IL 60107-2939","US","Library Mail","3.92 ","1 lbs ","5"
"7/30/2024","Interlibrary Loan","Geneva Public Library","227 S 7th St Geneva IL 60134-2677","US","Library Mail","4.40","1 lbs ","5"
"4/26/2024","East County Regional Library ILL","","881 Gunnery Rd N Lehigh Acres FL 33971-4928","US","Library Mail","3.92","1 lbs ","5"
"2/13/2024","Interlibrary Loan Dept","Seekonk Public Library","410 Newman Ave Seekonk MA 02771-4604","US","Library Mail","4.62 ","2 lbs ","5"
"4/2/2024","Interlibrary Loan","Los Alamos County Library System","2400 Central Ave Los Alamos NM 87544-4055","US","Library Mail","3.92","1 lbs ","5"
"4/9/2024","Thomas Jefferson Library - ILL","University of Missouri-St Louis","1 University Blvd Saint Louis MO 63121-4400","US","Library Mail","3.92","1 lbs ","5"
"4/26/2024","Interlibrary Loan","Ramsey County Library","4560 Victoria St N Shoreview MN 55126-5863","US","Library Mail","3.92","1 lbs ","5"
"2/13/2024","Interlibrary Loan","Terrebonne Parish Library","151 Library Dr Houma LA 70360-5938","US","Library Mail","3.92 ","1 lbs ","5"
"8/19/2024","Interlibrary Loan","Prospect Heights Public Library","12 Elm St Prospect Heights IL 60070-1499","US","Library Mail","5.11","2 lbs ","5"
"4/30/2024","Interlibrary Loans Dept","Jacksonville Public Library","303 N Laura St Jacksonville FL 32202-3505","US","Library Mail","3.92","1 lbs ","5"
"8/23/2024","Interlibrary Loan","Fayetteville Public Library","401 W Mountain St Fayetteville AR 72701-5819","US","Library Mail","5.82","3 lbs ","5"
"4/29/2024","Interlibrary Loan","Truth or Consequences Public Library","325 Library Ln Truth Or Consequences NM 87901-2375","US","Library Mail","3.92","1 lbs ","5"
"2/12/2024","Interlibrary Loan","Coal City Public Library District","85 N Garfield St Coal City IL 60416-1695","US","Library Mail","4.62 ","2 lbs ","5"
"4/5/2024","Interlibrary Loan","Newport Beach Public Library","1000 Avocado Ave Newport Beach CA 92660-7916","US","Library Mail","4.62","2 lbs ","5"
"2/12/2024","Interlibrary Loan Dept","Penn State University Libraries","""127 Paterno Library, Curtin Rd University Park PA 16802""","US","Library Mail","3.92 ","1 lbs ","5"
"1/24/2024","""Interlibrary Loan, RT 122""","Cleveland State University Library","1860 E 22nd St Cleveland OH 44114-4409","US","Library Mail","3.92","1 lbs ","5"
"11/6/2024","Library - Yena Center - ILL Dept","Johnson & Wales University","111 Dorrance St Providence RI 02903-2807","US","Library Mail","5.11","2 lbs ","5"
"4/5/2024","Interlibrary Loan","Lexington Public Library","140 E Main St Lexington KY 40507-1376","US","Library Mail","3.92","1 lbs ","5"
"4/18/2024","Interlibrary Loan","South Puget Sound Community College","2011 Mottman Rd SW Tumwater WA 98512-6292","US","Library Mail","3.92","1 lbs ","5"
"4/4/2024","Interlibrary Loan","Nashville Public Library","615 Church St Nashville TN 37219-2314","US","Library Mail","3.92","1 lbs ","5"
"4/4/2024","Interlibrary Loan","California State Library","PO Box 942837 Sacramento CA 94237-0001","US","Library Mail","3.92","1 lbs ","5"
"8/19/2024","Interlibrary Loan ","Cleveland Public Library","325 Superior Ave E Cleveland OH 44114-1271","US","Library Mail","4.4","1 lbs ","5"
"8/19/2024","Interlibrary Loan","Free Library of Philadelphia","1901 Vine St Philadelphia PA 19103-1189","US","Library Mail","4.4","1 lbs ","5"
"4/2/2024","Interlibrary Loan","Ocean Shores Public Library","573 Point Brn Ave NW Ocean Shores WA 98569-9632","US","Library Mail","3.92","1 lbs ","5"
"8/14/2024","Interlibrary Loan Services","Sierra Vista Public Library","2600 E Tacoma St Sierra Vista AZ 85635-1352","US","Library Mail","5.11","2 lbs ","5"
"2/22/2024","Interlibrary Loan","Columbia College Library","600 S Michigan Ave Chicago IL 60605-1996","US","Library Mail","6.72","5 lbs ","5"
"2/22/2024","Interlibrary Loan","Watsonville Public Library","""275 Main St, Ste 100 Watsonville CA 95076-5133""","US","Library Mail","6.02","4 lbs ","5"
"4/4/2024","Interlibrary Loan","Glen Ellyn Public Library","400 Duane St Glen Ellyn IL 60137-4531","US","Library Mail","4.62","2 lbs ","5"
"7/8/2024","ILL Department","Big Horn County Public Library","419 N Custer Ave Hardin MT 59034-1892","US","Library Mail","4.62","2 lbs ","5"
"4/22/2024","Interlibrary Loan","Fairfield Public Library","PO Box 324 14 4th St N Fairfield MT 59436-0324","US","Library Mail","3.92","1 lbs ","5"
"7/24/2024","Interlibrary Loan","Twin Rivers Corrections Center","PO Box 888 Monroe WA 98272-0888","US","Library Mail","5.11","2 lbs ","5"
"7/24/2024","Dimond Library - ILL","University of New Hampshire","18 Library Way Durham NH 03824-3525","US","Library Mail","5.11","2 lbs ","5"
"7/24/2024","ILL","Sarah Lawrence College Library","1 Mead Way Bronxville NY 10708-5999","US","Library Mail","4.40","1 lbs ","5"
"4/2/2024","The Hub - Interlibrary Loan","James Madison University","""771 Dukes Dr, MSC 1704 Harrisonburg VA 22807-1018""","US","Library Mail","3.92","1 lbs ","5"
"4/23/2024","The Henry C Crowell Library - ILL","Moody Bible Institute","820 N La Salle Dr Chicago IL 60610-3263","US","Library Mail","3.92","1 lbs ","5"
"4/9/2024","ILL Department","St Joseph Public Library","927 Felix St Saint Joseph MO 64501-2799","US","Library Mail","5.32","2 lbs 3.50 oz","5"
"2/22/2024","Interlibrary Loan Dept","Worcester Public Library","3 Salem Sq Worcester MA 01608-2074","US","Library Mail","4.62","2 lbs ","5"
"2/22/2024","Ryan Library - ILL","Point Loma Nazarene University","3900 Lomaland Dr San Diego CA 92106-2899","US","Library Mail","4.62","2 lbs ","5"
"4/4/2024","Interlibrary Loan","University of Oklahoma Libraries","""401 W Brooks St, Rm 103 Norman OK 73019-0528""","US","Library Mail","4.62","2 lbs ","5"
"7/17/2024","Interlibrary Loan","Quincy Public Library","526 Jersey St Quincy IL 62301-3996","US","Library Mail","4.40","1 lbs ","5"
"4/4/2024","Pius XII Memorial Library - ILL","Saint Louis University","3650 Lindell Blvd Saint Louis MO 63108-3302","US","Library Mail","4.62","2 lbs ","5"
"4/4/2024","Kent Library - ILL Services","Southeast Missouri State University","""1 University Plz, MSC 4600 Cape Girardeau MO 63701-4799""","US","Library Mail","6.72","5 lbs ","5"
"4/24/2024","Interlibrary Loan","Worthington Public Library","820 High St Worthington OH 43085-3182","US","Library Mail","3.92","1 lbs ","5"
"4/4/2024","Interlibrary Loan","Douglas County Public Library","PO Box 337 Minden NV 89423-0337","US","Library Mail","4.62","2 lbs ","5"
"4/9/2024","Interlibrary Loan","Santa Clara County Library District","1370 Dell Ave Campbell CA 95008-6604","US","Library Mail","3.92","1 lbs ","5"
"8/22/2024","ILL Dept - DiMattia Building","Ferguson Library","1 Public Library Plaza Stamford CT 06904","US","Library Mail","4.4","1 lbs ","5"
"4/24/2024","McFarlin Library - Interlibrary Loan","The University of Tulsa","2933 E 6th St Tulsa OK 74104-3123","US","Library Mail","4.62","2 lbs ","5"
"2/15/2024","Vanessa Meador","Our Lady of the Lake University Library","411 SW 24th St San Antonio TX 78207-4689","US","Library Mail","4.62 ","2 lbs ","5"
"4/19/2024","Interlibrary Loan Dept","Wenatchee Valley College","1300 5th St Wenatchee WA 98801-1799","US","Library Mail","4.62","1 lbs 12.30 oz","5"
"4/22/2024","Richardson Library - Interlibrary Loan","Hardin-Simmons University","Hsu Box 16195 Abilene TX 79698-6195","US","Library Mail","3.92","1 lbs ","5"
"4/22/2024","Interlibrary Loans","Tyler Public Library","201 S College Ave Tyler TX 75702-7381","US","Library Mail","3.92","1 lbs ","5"
"3/1/2024","Interlibrary Loan","Logan County District Library","220 N Main St Bellefontaine OH 43311-2228","US","Library Mail","3.92","1 lbs ","5"
"4/23/2024","Leonard H Axe Library - ILL","Pittsburg State University","1701 S Broadway St Pittsburg KS 66762-5889","US","Library Mail","4.62","1 lbs 11.10 oz","5"
"4/19/2024","Interlibrary Loan","Loudoun County Public Library","""102 North St NW, Ste A Leesburg VA 20176-2203""","US","Library Mail","5.32","2 lbs 0.80 oz","5"
"2/15/2024","Jane Ruback/ILL Dept","La Grange Public Library","10 W Cossitt Ave La Grange IL 60525-2391","US","Library Mail","4.62 ","1 lbs 10.50 oz","5"
"8/20/2024","Interlibrary Loan Dept","Mount Holyoke College Library","50 College St South Hadley MA 01075-6404","US","Library Mail","4.4","1 lbs ","5"
"2/6/2024","Interlibrary Loan Dept","Larsen-Sant Public Library","109 S 1st E Preston ID 83263-1303","US","Library Mail","4.62","2 lbs ","5"
"1/3/2024","Todd Wehr Memorial Library - ILL","Viterbo University","900 Viterbo Dr La Crosse WI 54601-8804","US","Library Mail","3.72","1 lbs ","5"
"8/13/2024","Interlibrary Loans","Williamsburg Regional Library","7770 Croaker Rd Williamsburg VA 23188-7064","US","Library Mail","5.11","2 lbs ","5"
"1/26/2024","Library - ILL Dept","Estrella Mountain Community College","3000 N Dysart Rd Avondale AZ 85392-1000","US","Library Mail","3.92","1 lbs ","5"
"4/29/2024","Rsource Sharing","State Library of Louisiana","701 N 4th St Baton Baton Rouge LA 70802-5345","US","Library Mail","3.92","1 lbs ","5"
"1/3/2024","Dept of the Army Interlibrary Loan","Ike Skelton Combined Arms Res Library","250 Gibbons Ave Offical Business Fort Leavenworth KS 66027-7800","US","Library Mail","3.72","1 lbs ","5"
"7/11/2024","Interlibrary Loan Dept","Northbrook Public Library","1201 Cedar Ln Northbrook IL 60062-4513","US","Library Mail","4.62","2 lbs ","5"
"11/7/2024","ILL/Circulation Dept","Plainfield Public Library","15025 S Illinois St Plainfield IL 60544-2819","US","Library Mail","4.40","1 lbs ","5"
"2/9/2024","Perry Library - Interlibrary Loan","Old Dominion University","4427 Hampton Blvd Norfolk VA 23508-1817","US","Library Mail","4.62","2 lbs ","5"
"4/4/2024","Interlibrary Loan","Evangel University Library","1111 N Glenstone Ave Springfield MO 65802-2125","US","Library Mail","3.92","1 lbs ","5"
"8/27/2024","Marriott Library - Interlibrary Loans","University of Utah","295 S 1500 E Salt Lake City UT 84112-0860","US","Library Mail","5.11","2 lbs ","5"
"4/16/2024","Staley Library - ILL","Millikin University","1184 W Main St Decatur IL 62522-2084","US","Library Mail","4.62","2 lbs ","5"
"8/28/2024","Interlibrary Loan","Liberty Lake Municipal Library","23123 E Mission Ave Liberty Lake WA 99019-4917","US","Library Mail","4.40","1 lbs ","5"
"8/16/2024","William C Bonaudi Library - ILL","Big Bend Community College","7662 Chanute St NE Moses Lake WA 98837-3299","US","Library Mail","4.40","1 lbs ","5"
"8/28/2024","Interlibrary Loan","Elk Grove Village Public Library","1001 Wellington Ave Elk Grove Village IL 60007-3389","US","Library Mail","4.40","1 lbs ","5"
"1/12/2024","Medical Library (MCHJ-MOE-L)","Madigan Army Medical Center","9040 Jackson Ave Joint Base Lewis McChord WA 98431-1100","US","Library Mail","3.72","1 lbs ","5"
"4/3/2024","Interlibrary Loan","Utah State Library","""250 N 1950 W, Ste A Salt Lake City UT 84116-7901""","US","Library Mail","5.32","3 lbs ","5"
"1/26/2024","Interlibrary Loan","Luke AFB Library","""7424 N Homer Dr, Bldg 219 Luke Air Force Base AZ 85309-1201""","US","Library Mail","6.02","4 lbs ","5"
"8/28/2024","Library - Interlibrary Loan","University of the Pacific","3601 Pacific Ave Stockton CA 95211-0198","US","Library Mail","4.40","1 lbs ","5"
"5/17/2024","Interlibrary Loan Department","Woodward Public Library","1500 Main St Woodward OK 73801-3053","US","Library Mail","3.92","1 lbs ","5"
"8/27/2024","Interlibrary Loan","Woodridge Public Library","3 Plaza Dr Woodridge IL 60517-2099","US","Library Mail","5.82","3 lbs ","5"
"8/12/2024","Kellogg Library - Interlibrary Loan","""California State University, San Marcos""","333 S Twin Oaks Valley Rd San Marcos CA 92096-0001","US","Library Mail","5.82","3 lbs ","5"
"8/26/2024","Interlibrary Loan - 65 Wilson Library","University of Minnesota Libraries","309 19th Ave S Minneapolis MN 55455-0438","US","Library Mail","5.82","3 lbs ","5"
"1/3/2024","Interlibrary Loan","Occidental College Library","""1600 Campus Rd, Stop M-10 Los Angeles CA 90041-3314""","US","Library Mail","3.72","1 lbs ","5"
"8/16/2024","Interlibrary Loan Department","Pueblo Library District","100 E Abriendo Ave Pueblo CO 81004-4290","US","Library Mail","4.40","1 lbs ","5"
"4/15/2024","NSU Libraries - ILL","","711 N Grand Ave Tahlequah OK 74464-2300","US","Library Mail","3.92","1 lbs ","5"
"1/26/2024","Interlibrary Loan","San Juan College Library","4601 College Blvd Farmington NM 87402-4699","US","Library Mail","4.62","2 lbs ","5"
"8/15/2024","Interlibrary Loan","Lewistown Public Library","701 W Main St Lewistown MT 59457-2501","US","Library Mail","4.40","1 lbs ","5"
"1/12/2024","John Spellman Library - ILL","Grays Harbor College","1620 Edward P Smith Dr Aberdeen WA 98520-7599","US","Library Mail","4.43","2 lbs ","5"
"1/26/2024","Evansdale Library - ILL","West Virginia University","PO Box 6105 Morgantown WV 26506-6105","US","Library Mail","3.92","1 lbs ","5"
"8/15/2024","Library - ILL Dept","Valparaiso University","1410 Chapel Dr Valparaiso IN 46383-4523","US","Library Mail","4.40","1 lbs ","5"
"1/9/2024","Interlibrary Loan","Oswego Public Library District","1111 Reading Dr Montgomery IL 60538-1646","US","Library Mail","4.43","2 lbs ","5"
"8/14/2024","Interlibrary Loan","Dillon Public Library","121 S Idaho St Dillon MT 59725-2511","US","Library Mail","4.40","1 lbs ","5"
"4/29/2024","Interlibrary Loan","Columbia Basin College Library","2600 N 20th Ave Pasco WA 99301-4108","US","Library Mail","3.92","1 lbs ","5"
"8/27/2024","Interlibrary Loan","Lisle Library District","777 Front St Lisle IL 60532-3599","US","Library Mail","4.40","1 lbs ","5"
"7/9/2024","Jernigan Library - ILL","Texas A&M University-Kingsville","""700 N University Blvd, MSC 197 Kingsville TX 78363-8203""","US","Library Mail","6.02","4 lbs ","5"
"8/23/2024","Interlibrary Loan","Eagle Public Library","PO Box 240 600 Broadway Eagle CO 81631-0240","US","Library Mail","4.4","1 lbs ","5"
"4/29/2024","Interlibrary Loan","Hot Springs County Library","PO Box 951 Thermopolis WY 82443-0951","US","Library Mail","4.62","2 lbs ","5"
"4/29/2024","Olson Library - Interlibrary Loan Dept","Northern Michigan University","1401 Presque Isle Ave Marquette MI 49855-5301","US","Library Mail","4.62","2 lbs ","5"
"2/8/2024","Interlibrary Loan","Miles City Public Library","1 S 10th St Miles City MT 59301-3398","US","Library Mail","4.62","2 lbs ","5"
"4/16/2024","Interlibrary Loan","Delaware County Libraries","340 N Middletown Rd Fair Acres Building 19 Media PA 19063-5505","US","Library Mail","4.62","2 lbs ","5"
"8/23/2024","Miller Library - ILL","Cornerstone University","1001 E Beltlin Ave NE Grand Rapids MI 49525-5803","US","Library Mail","5.11","2 lbs ","5"
"1/29/2024","Interlibrary Loan","Edwardsville Public Library","112 S Kansas St Edwardsville IL 62025-1708","US","Library Mail","3.92","1 lbs ","5"
"8/12/2024","Interlibrary Loan","Cary Memorial Library","1874 Mass Ave Lexington MA 02420-5385","US","Library Mail","4.40","1 lbs ","5"
"3/15/2024","Library - Interlibrary Loans","Linn-Benton Community College","6500 Pacific Blvd SW Albany OR 97321-3755","US","Library Mail","3.92","1 lbs ","4"
